image_name;name;"Економічна правда; позитивні";"Економічна правда; нейтральні";"Економічна правда; негативні";"РБК-Україна; позитивні";"РБК-Україна; нейтральні";"РБК-Україна; негативні";"Українська правда; позитивні";"Українська правда; нейтральні";"Українська правда; негативні";"ZIK; позитивні";"ZIK; нейтральні";"ZIK; негативні";"LIGA.net; позитивні";"LIGA.net; нейтральні";"LIGA.net; негативні";"Obozrevatel; позитивні";"Obozrevatel; нейтральні";"Obozrevatel; негативні";"24 канал; позитивні";"24 канал; нейтральні";"24 канал; негативні";"УНІАН; позитивні";"УНІАН; нейтральні";"УНІАН; негативні";"LB.ua; позитивні";"LB.ua; нейтральні";"LB.ua; негативні";"ТСН; позитивні";"ТСН; нейтральні";"ТСН; негативні";"Сьогодні; позитивні";"Сьогодні; нейтральні";"Сьогодні; негативні";"Гордон; позитивні";"Гордон; нейтральні";"Гордон; негативні";"УНН; позитивні";"УНН; нейтральні";"УНН; негативні";"Апостроф; позитивні";"Апостроф; нейтральні";"Апостроф; негативні";"Українські новини; позитивні";"Українські новини; нейтральні";"Українські новини; негативні";"Страна.ua; позитивні";"Страна.ua; нейтральні";"Страна.ua; негативні";"Радіо Свобода; позитивні";"Радіо Свобода; нейтральні";"Радіо Свобода; негативні";"Фокус; позитивні";"Фокус; нейтральні";"Фокус; негативні";"Інтерфакс-Україна; позитивні";"Інтерфакс-Україна; нейтральні";"Інтерфакс-Україна; негативні";"112.ua; позитивні";"112.ua; нейтральні";"112.ua; негативні";"ZN.UA; позитивні";"ZN.UA; нейтральні";"ZN.UA; негативні";"Znaj.ua; позитивні";"Znaj.ua; нейтральні";"Znaj.ua; негативні";"Politeka; позитивні";"Politeka; нейтральні";"Politeka; негативні";"Громадське; позитивні";"Громадське; нейтральні";"Громадське; негативні";"Факти ICTV; позитивні";"Факти ICTV; нейтральні";"Факти ICTV; негативні";"Главком; позитивні";"Главком; нейтральні";"Главком; негативні";"Цензор.НЕТ; позитивні";"Цензор.НЕТ; нейтральні";"Цензор.НЕТ; негативні";"Корреспондент.net; позитивні";"Корреспондент.net; нейтральні";"Корреспондент.net; негативні";"Вголос; позитивні";"Вголос; нейтральні";"Вголос; негативні";"НВ; позитивні";"НВ; нейтральні";"НВ; негативні";"Gazeta.ua; позитивні";"Gazeta.ua; нейтральні";"Gazeta.ua; негативні";"Zaxid.net; позитивні";"Zaxid.net; нейтральні";"Zaxid.net; негативні";"Суспільне; позитивні";"Суспільне; нейтральні";"Суспільне; негативні";"Укрінформ; позитивні";"Укрінформ; нейтральні";"Укрінформ; негативні";"ГолосUA; позитивні";"ГолосUA; нейтральні";"ГолосUA; негативні";"Букви; позитивні";"Букви; нейтральні";"Букви; негативні";"КП в Украине; позитивні";"КП в Украине; нейтральні";"КП в Украине; негативні";"Факти; позитивні";"Факти; нейтральні";"Факти; негативні";"Телеграф; позитивні";"Телеграф; нейтральні";"Телеграф; негативні";"Вести; позитивні";"Вести; нейтральні";"Вести; негативні";"Еспресо ТВ; позитивні";"Еспресо ТВ; нейтральні";"Еспресо ТВ; негативні";"Бабель; позитивні";"Бабель; нейтральні";"Бабель; негативні"
v_zelenskyi;Володимир Зеленський;8;38;5;31;199;65;30;70;42;19;81;95;29;133;71;54;221;88;102;359;157;77;199;46;27;112;47;6;61;14;37;132;53;92;280;104;48;214;93;26;90;53;68;133;71;61;159;94;20;76;41;44;113;37;78;131;72;27;146;119;57;178;88;37;110;52;16;51;32;11;100;27;25;85;24;88;316;127;125;201;115;35;114;60;6;57;19;98;270;112;38;154;78;9;40;25;15;106;28;86;237;71;100;118;106;24;133;67;71;143;62;24;46;35;31;63;93;99;258;155;34;121;64;19;64;31
m_stepanov;Максим Степанов;1;3;1;16;158;29;8;65;18;5;56;15;16;86;22;22;143;44;11;176;47;15;145;36;5;57;8;6;91;16;26;122;30;13;156;65;26;137;133;3;66;12;17;50;18;15;66;50;8;38;38;12;78;21;13;50;41;14;102;33;15;259;40;5;23;9;2;7;3;1;99;9;13;94;22;19;234;77;36;151;30;6;88;53;1;64;5;25;167;50;7;50;12;2;19;8;34;125;18;26;118;22;10;78;23;4;42;12;13;89;33;2;21;10;7;45;6;29;119;29;7;62;15;0;56;12
d_shmyhal;Денис Шмигаль;9;32;10;10;92;15;3;25;3;0;35;18;9;61;15;14;105;33;19;85;28;6;69;8;4;30;4;2;13;7;8;48;14;15;113;31;15;96;28;3;20;7;19;62;29;5;35;11;2;18;3;12;32;7;13;45;8;4;75;11;4;76;9;5;42;22;3;29;47;1;13;2;2;48;6;17;143;18;28;56;13;14;46;4;1;21;3;23;80;15;9;36;9;1;8;1;3;81;5;45;97;17;14;44;12;4;16;4;10;47;8;1;11;1;2;10;5;31;62;13;6;41;11;2;15;0
v_medvedchuk;Віктор Медведчук;0;6;1;2;42;13;6;23;13;7;35;66;3;15;27;11;46;36;16;92;45;10;39;19;2;19;12;0;8;5;3;12;10;7;78;32;5;8;6;6;23;28;6;23;9;5;24;13;3;20;8;12;25;23;3;32;13;7;43;64;14;33;27;0;7;3;0;5;4;2;10;15;0;5;3;8;58;51;6;41;38;1;7;6;3;12;1;22;63;40;5;37;25;1;10;13;2;12;11;4;26;12;36;40;66;3;20;11;17;24;22;3;18;8;14;33;32;24;64;40;7;20;20;2;28;12
p_poroshenko;Петро Порошенко;0;3;0;9;21;16;5;24;12;5;18;14;4;17;2;21;22;26;19;70;46;7;17;16;10;22;25;2;5;3;0;12;12;17;73;57;8;10;4;5;36;14;23;33;37;20;42;48;1;11;11;5;16;23;6;15;21;4;16;10;6;43;21;8;25;12;8;19;9;0;13;10;1;5;0;15;63;50;20;26;24;2;4;5;0;8;2;13;77;36;10;36;20;3;8;7;0;14;4;6;15;7;19;30;17;15;29;40;14;33;22;3;11;10;8;26;19;15;71;58;6;15;19;0;34;17
v_liashko;Віктор Ляшко;0;0;0;11;55;10;1;23;33;2;20;7;3;56;23;8;62;13;6;87;20;7;40;9;6;24;9;4;27;5;2;32;14;9;45;13;6;68;5;0;19;2;10;29;11;9;22;6;2;15;1;8;30;12;2;25;5;6;48;8;3;206;22;3;6;4;3;6;1;6;64;3;10;39;9;10;58;12;14;48;16;9;38;9;3;14;0;6;37;27;3;21;2;0;15;0;6;25;5;6;42;5;6;18;10;4;24;3;4;35;23;3;13;1;8;12;7;7;34;14;6;25;6;2;16;1
o_danilov;Олексій Данілов;0;9;2;3;29;16;1;12;9;2;12;8;3;23;8;2;29;15;5;64;18;1;23;41;1;15;3;0;2;1;1;14;10;0;63;28;0;31;14;1;15;10;14;25;12;5;29;9;7;19;6;7;16;13;2;31;10;1;14;14;8;33;11;1;4;4;0;6;5;1;13;1;2;14;10;3;35;16;12;39;17;1;10;4;0;9;2;13;38;23;1;25;1;1;15;4;1;13;3;3;28;17;5;22;15;1;9;14;5;17;13;2;6;0;1;21;7;8;36;8;0;20;8;0;10;4
d_razumkov;Дмитро Разумков;0;4;0;5;54;5;2;20;3;1;14;2;5;14;2;1;29;10;7;46;8;5;30;5;9;27;4;2;6;3;1;13;3;11;42;12;10;45;2;4;13;2;14;28;4;6;26;13;0;10;1;12;16;8;14;46;5;1;34;4;6;26;5;4;11;7;1;7;6;1;6;1;0;16;1;5;32;5;17;44;12;4;21;7;0;6;4;8;27;5;2;42;5;3;2;0;2;12;0;6;71;12;8;22;3;4;28;1;8;21;4;2;1;1;3;8;5;15;47;7;3;25;7;0;10;2
a_avakov;Арсен Аваков;0;1;0;2;29;7;5;11;20;1;2;3;1;15;4;4;22;16;7;40;44;6;39;11;2;10;3;2;7;5;3;14;8;11;63;24;7;9;4;0;5;4;13;22;12;8;21;19;1;9;14;9;12;6;5;12;10;3;11;4;5;31;18;0;6;1;0;4;1;0;8;12;2;10;2;5;40;40;12;23;15;0;8;4;2;4;3;10;18;9;3;36;20;0;10;6;3;6;5;9;30;8;4;8;6;3;9;44;9;16;6;2;8;3;6;5;6;15;21;17;3;14;9;6;23;14
v_klychko;Віталій Кличко;0;0;2;3;29;8;1;38;6;0;3;2;3;10;2;4;31;18;2;15;4;3;19;18;5;19;6;0;9;2;1;41;7;5;17;10;2;23;26;1;10;0;15;40;14;3;30;14;0;7;2;4;12;7;3;19;27;0;35;5;4;16;13;3;20;8;1;5;10;0;1;3;1;7;3;7;56;25;28;20;20;2;30;5;0;9;1;5;51;16;2;10;4;0;2;0;4;26;1;3;38;21;5;36;11;2;11;4;7;16;6;1;2;5;0;10;4;8;14;14;0;7;2;1;8;6
