image_name;name;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні
m_stepanov;Максим Степанов;3;12;12;3;24;12;0;0;0;5;42;11;5;17;9;4;35;22;12;50;49;1;18;3;3;14;4;4;25;16;1;14;7;1;27;17;1;22;19;3;18;4;3;3;8;7;13;8;5;13;13;4;34;101;3;16;9;1;20;33;3;9;5;10;20;39;5;5;6;2;9;6;7;25;17;1;1;1;10;5;4;4;29;12;16;34;66;11;43;10;2;54;14;1;4;7;9;10;10;7;14;13;11;7;9;7;5;6;12;9;13;5;13;9;1;7;5;5;36;11;17;24;17;11;50;33
v_liashko;Віктор Ляшко;2;13;4;5;10;4;0;0;0;4;22;5;2;4;3;5;16;7;1;8;5;0;10;3;0;8;1;4;19;6;1;6;1;0;15;3;4;10;4;3;16;9;0;3;3;3;5;2;1;9;2;2;3;8;0;17;1;3;8;0;1;4;1;5;20;14;1;1;1;1;2;4;1;7;3;0;1;0;6;1;1;1;11;3;5;11;11;1;23;5;0;9;3;1;7;1;0;6;2;4;7;6;8;6;0;2;1;1;6;4;1;1;4;6;0;5;1;6;9;3;10;7;5;2;10;4
v_klychko;Віталій Кличко;0;2;3;0;8;7;0;0;0;1;8;6;0;0;0;0;4;7;0;1;29;0;2;2;0;1;0;1;1;21;1;6;8;0;3;25;0;1;19;0;1;6;1;2;4;0;0;5;1;6;4;0;2;12;0;8;1;0;5;28;0;3;4;0;3;10;0;0;0;0;0;0;1;1;7;0;1;2;0;1;0;2;1;7;2;13;25;1;3;34;0;0;10;0;0;0;0;1;1;0;1;2;1;3;3;2;0;2;2;1;4;0;1;2;0;0;0;0;3;9;3;4;8;3;7;37
v_zelenskyi;Володимир Зеленський;0;2;0;1;1;0;0;0;0;1;2;0;0;0;1;4;0;0;2;1;0;0;1;0;2;3;5;2;5;0;1;1;0;1;1;6;0;0;1;1;2;1;1;0;0;1;3;0;2;1;2;0;3;4;2;1;0;2;2;0;0;1;0;7;2;4;0;0;0;1;1;1;3;0;1;0;0;0;2;0;0;0;1;2;2;4;11;2;2;1;1;1;0;0;0;0;0;0;0;2;0;0;5;1;1;1;2;1;3;0;2;3;1;3;0;0;0;1;2;1;7;0;1;1;1;0
d_shmyhal;Денис Шмигаль;1;3;0;1;3;0;0;0;0;2;4;0;3;2;0;1;4;1;1;2;0;2;0;0;1;0;0;2;2;1;1;1;0;1;2;2;0;2;0;1;0;0;1;0;0;1;2;2;0;2;1;2;4;15;0;1;0;4;1;0;0;1;1;4;2;2;0;0;0;0;1;0;3;1;0;0;0;0;2;0;0;0;2;0;0;3;2;4;4;1;0;2;0;1;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;2;1;0;0;0;0;1;2;2;3;0;1;0;1
m_radutskyi;Михайло Радуцький;0;0;1;0;1;3;0;0;0;0;4;7;0;0;2;0;1;3;0;0;0;0;0;1;0;3;1;1;7;5;0;0;0;0;0;1;0;3;4;0;1;0;0;0;0;1;0;2;0;0;0;0;0;2;0;1;0;0;1;3;0;0;1;0;2;5;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;4;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;3;3;0;0;1;0;1;0;0;1;1;0;1;0;2;3;8;3;0;4;1;0;4
a_sadovyi;Андрій Садовий;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;1;1;0;1;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;9;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;2;1;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;2;1;0;1
p_poroshenko;Петро Порошенко;0;0;0;3;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
v_medvedchuk;Віктор Медведчук;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;0;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;0;1;0;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0
l_denisova;Людмила Денісова;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1
